[2026-02-06 15:11:02] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [1040] Too many connections
[2026-02-07 00:12:05] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [1040] Too many connections
[2026-02-09 23:01:02] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-12 16:31:04] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-12 16:31:06] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-12 16:31:08] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-12 16:31:08] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-12 16:31:24] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-12 16:34:34] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-12 16:34:34] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-12 16:34:36] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-12 16:34:36] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-12 16:34:37] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-12 16:34:37] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-12 16:34:42] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:04:20] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[08004] [1040] Too many connections
[2026-02-19 17:13:25] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:13:29] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:13:35] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:13:42] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:14:21] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:21:10] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:21:11] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:21:49] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:33:37] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:33:39] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:34:02] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:34:14] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
